question_id,label
284759001,2
131909008,2
148828003,0
403459000,3
277145006,5
276711075,7
576526000,2
253848002,6
406666003,1
460055005,0
396136004,3
397819006,4
399241010,0
4259008,2
154869002,4
541456002,6
402531006,7
274105000,4
316001004,1
352041003,4
538182001,1
529340002,0
68147005,7
136894000,3
534900003,6
149060002,8
15652004,1
577975007,7
475765004,0
148646003,0
265708000,9
397167006,9
271231002,5
527342006,7
131976001,8
21921003,3
471373004,0
273503001,7
405137005,8
7179018,9
5011002,5
21280004,3
268512009,4
11256000,8
4441002,9
533224003,1
537122009,1
144925002,8
570518007,6
526085000,6
276806000,7
9002,6
10600002,0
397860003,2
43774027,2
133281011,3
281721002,8
137203003,7
268227002,3
1900002,0
255937006,5
14402002,2
412198003,5
396625010,5
538957000,1
401804005,8
362785000,5
265273003,4
529019007,3
483453014,6
134620000,8
148994010,4
263783000,9
541264001,5
282158044,8
14366000,9
271803000,2
395341003,8
109156000,1
264179001,4
404592001,3
40205000,6
279182011,9
330907034,7
437756006,3
530285000,1
136711003,9
272282001,6
142953001,5
65984002,3
539906001,4
281280000,9
411740001,4
147775002,7
14998001,1
157198001,2
8383002,9
154066001,9
139416017,1
146706001,8
7650000,0
350069002,6
25515005,7
110058004,5
8062004,6
148276001,4
142953002,5
405291001,2
151959002,0
24086004,2
