question_id,label
2774001,8
139389001,0
276006002,7
1906005,7
3225001,7
524651005,7
459339006,0
403109001,0
11630007,5
536830002,7
416684000,1
406725005,6
273548006,8
535289000,2
67656000,0
43774039,2
22529003,8
283965001,4
144484005,1
423881002,4
535289002,2
410916000,9
529353005,5
280422005,1
275271005,3
408460000,1
184184001,3
405982002,1
415052001,3
370000,6
138032001,3
87525004,3
534892002,2
405207002,9
133883003,8
148292001,6
529353006,5
406296004,1
5483002,3
412208002,4
111756002,4
22193000,2
131343003,6
282952001,0
137365007,3
393661046,5
157198002,2
541450000,6
6182006,5
143783007,3
400829000,0
531032008,8
147539001,5
139042007,7
491525019,4
524317002,4
249384004,1
541706000,6
537532001,6
9425000,2
283960000,2
44580000,4
8733001,3
12463002,9
543376013,5
271324003,5
10856001,2
412194006,9
530898000,2
327682000,0
22564011,2
148474012,4
403525002,8
287119000,2
532638009,6
1497002,8
16111007,5
136168001,8
141862030,1
393379001,6
278799004,8
271890012,6
275532003,8
5740001,0
22427001,4
404114008,9
547284002,2
534543003,2
279058000,0
530286006,7
397167004,9
278793001,1
532583004,8
407238000,4
297157012,3
525529001,3
134948000,0
139416029,1
399885011,0
492354003,6
530286013,3
152286012,4
68130004,4
143563001,7
269490001,0
275938001,4
400560012,3
545930000,3
308582001,3
277677003,8
353098040,7
407548000,4
351972040,3
414130002,9
525179002,3
138461000,3
403463007,3
156328002,0
531033009,4
526290004,7
520005002,1
139416019,1
150385000,9
548377000,2
538133006,3
14027004,8
1510006,6
308103004,8
483453007,6
531201003,4
306376014,2
400599002,4
135163006,4
403271000,0
400028001,9
393325013,1
271890011,6
269381008,4
6230002,2
325646005,8
7535020,0
20619002,9
149202003,2
404005008,4
267266005,5
282228008,8
140738006,7
544866001,7
283199001,9
134294021,4
24086003,2
526598001,1
532358004,7
267734002,7
148541010,1
8024002,2
503479044,3
530284010,7
271803001,2
146098007,9
12251001,0
78684004,4
543661004,3
12597006,8
279182038,9
306621005,6
546517001,9
14113000,0
169003022,4
7420009,2
351380001,7
394666003,6
45280001,5
145155001,1
536248002,9
533998002,8
18935000,0
416440000,9
273782000,2
6151008,3
405057017,7
197689004,6
460055003,0
397217000,2
266990003,5
550239004,2
533835000,8
544253000,3
445628008,1
274537004,3
12678000,0
8369000,7
548575000,2
148002004,5
18244001,3
9866002,9
149763007,5
16669004,9
416048000,4
156026004,8
542950003,3
137836002,5
408735001,0
538916001,8
265100005,5
132106002,6
2644002,8
147971000,5
136078000,1
6824000,7
135480000,1
537825014,2
